region,province,city,position,district,candidate_name,party,votes,rank,raw_position
CORDILLERA ADMINISTRATIVE REGION,ABRA,SAN ISIDRO,MAYOR,,"PACSA, ELMERANTE",ASENSO,2157,1,MAYOR ABRA - SAN ISIDRO
CORDILLERA ADMINISTRATIVE REGION,ABRA,SAN JUAN,MAYOR,,"BAUTISTA, ARTHUR",ASENSO,5557,1,MAYOR ABRA - SAN JUAN
CORDILLERA ADMINISTRATIVE REGION,ABRA,SAN QUINTIN,MAYOR,,"AZNAR, JOVELLEN",ASENSO,3084,1,MAYOR ABRA - SAN QUINTIN
CORDILLERA ADMINISTRATIVE REGION,ABRA,TAYUM,MAYOR,,"EDUARTE, GLEN",ASENSO,6428,1,MAYOR ABRA - TAYUM
CORDILLERA ADMINISTRATIVE REGION,ABRA,TINEG,MAYOR,,"CRISOLOGO, BRETHEN JIREEH",NP,2435,1,MAYOR ABRA - TINEG
CORDILLERA ADMINISTRATIVE REGION,ABRA,TUBO,MAYOR,,"BALLANGAN, LIBERTY",ASENSO,1970,1,MAYOR ABRA - TUBO
CORDILLERA ADMINISTRATIVE REGION,ABRA,VILLAVICIOSA,MAYOR,,"LAGEN, JOSE JR.",ASENSO,3140,1,MAYOR ABRA - VILLAVICIOSA
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,MAYOR,,"BULUT, SHAMIR",NP,7037,1,MAYOR APAYAO - CALANASAN
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CONNER,MAYOR,,"BAYAUA, JOE",PRP,8558,1,MAYOR APAYAO - CONNER
CORDILLERA ADMINISTRATIVE REGION,APAYAO,FLORA,MAYOR,,"DE SAN JOSE, JE",AKSYON,3501,1,MAYOR APAYAO - FLORA
CORDILLERA ADMINISTRATIVE REGION,APAYAO,KABUGAO,MAYOR,,"AMID, JOSEPH",NPC,4308,1,MAYOR APAYAO - KABUGAO
CORDILLERA ADMINISTRATIVE REGION,APAYAO,LUNA,MAYOR,,"BANGSIL, JOSIE",NPC,8396,1,MAYOR APAYAO - LUNA
CORDILLERA ADMINISTRATIVE REGION,APAYAO,PUDTOL,MAYOR,,"PASCUA, HECTOR REUEL",PDPLBN,6446,1,MAYOR APAYAO - PUDTOL
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,MAYOR,,"BARSATAN, EVELYN",PDPLBN,5718,1,MAYOR APAYAO - SANTA MARCELA
CORDILLERA ADMINISTRATIVE REGION,BENGUET,ATOK,MAYOR,,"CALANTAS, PAQUITO",IND,2115,1,MAYOR BENGUET - ATOK
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BAKUN,MAYOR,,"ANGLUBEN, CRESENCIO",IND,1078,1,MAYOR BENGUET - BAKUN
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BOKOD,MAYOR,,"TELLO, REY",IND,3993,1,MAYOR BENGUET - BOKOD
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,MAYOR,,"BACQUIAN, DONATO",IND,8248,1,MAYOR BENGUET - BUGUIAS
CORDILLERA ADMINISTRATIVE REGION,BENGUET,CITY OF BAGUIO,MAYOR,,"BILOG, EDISON",PFP,12061,1,MAYOR BENGUET - CITY OF BAGUIO
CORDILLERA ADMINISTRATIVE REGION,BENGUET,ITOGON,MAYOR,,"CAMANTILES, PAUL",IND,3143,1,MAYOR BENGUET - ITOGON
CORDILLERA ADMINISTRATIVE REGION,BENGUET,KABAYAN,MAYOR,,"BANTALES, FLORANTE JR.",IND,3330,1,MAYOR BENGUET - KABAYAN
CORDILLERA ADMINISTRATIVE REGION,BENGUET,KAPANGAN,MAYOR,,"CANUTO, BRUNO",IND,4134,1,MAYOR BENGUET - KAPANGAN
CORDILLERA ADMINISTRATIVE REGION,BENGUET,KIBUNGAN,MAYOR,,"MOLITAS, CESAR",UBP,7220,1,MAYOR BENGUET - KIBUNGAN
CORDILLERA ADMINISTRATIVE REGION,BENGUET,LA TRINIDAD,MAYOR,,"FONGWAN, NESTOR JR.",IND,14281,1,MAYOR BENGUET - LA TRINIDAD
CORDILLERA ADMINISTRATIVE REGION,BENGUET,MANKAYAN,MAYOR,,"AYONG, FRENZEL",UBP,7760,1,MAYOR BENGUET - MANKAYAN
CORDILLERA ADMINISTRATIVE REGION,BENGUET,SABLAN,MAYOR,,"DACUMOS, ALFREDO JR.",PPM,3735,1,MAYOR BENGUET - SABLAN
CORDILLERA ADMINISTRATIVE REGION,BENGUET,TUBA,MAYOR,,"RIVERA, NAZ",LAKAS,10569,1,MAYOR BENGUET - TUBA
CORDILLERA ADMINISTRATIVE REGION,BENGUET,TUBLAY,MAYOR,,"COSALAN, FELIPE JR.",IND,2357,1,MAYOR BENGUET - TUBLAY
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,AGUINALDO,MAYOR,,"CHILAGAN, GASPAR JR.",NPC,4065,1,MAYOR IFUGAO - AGUINALDO
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,ALFONSO LISTA,MAYOR,,"ALIPIO, EDRALIN",NPC,10448,1,MAYOR IFUGAO - ALFONSO LISTA
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,ASIPULO,MAYOR,,"BANG-UD, ELADIO",AKSYON,906,1,MAYOR IFUGAO - ASIPULO
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,BANAUE,MAYOR,,"BALLOGAN, RAUL",PPM,1556,1,MAYOR IFUGAO - BANAUE
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,HINGYON,MAYOR,,"GAYAMO, HAZEL",AKSYON,2754,1,MAYOR IFUGAO - HINGYON
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,HUNGDUAN,MAYOR,,"BINIAHAN, RAUL",IND,2138,1,MAYOR IFUGAO - HUNGDUAN
