province,city,position,district,candidate_name,party,votes,rank
APAYAO,CALANASAN,MAYOR,,"BULUT, SHAMIR",NP,7608,299266
APAYAO,CONNER,MAYOR,,"BAYAUA, JORICO",PFP,8930,299763
APAYAO,FLORA,MAYOR,,"JUAN, RUDY",LAKAS,7683,298758
APAYAO,KABUGAO,MAYOR,,"LIGWANG, BENSMAR",NPC,7014,299003
APAYAO,LUNA,MAYOR,,"GARDE, JANUARIO",LAKAS,6690,299510
APAYAO,PUDTOL,MAYOR,,"PASCUA, ATTY. EDMAR",NPC,5058,300034
APAYAO,SANTA MARCELA,MAYOR,,"MARTINEZ, EVELYN",LAKAS,6445,300291
AURORA,BALER,MAYOR,,"ANGARA, RHETT",LDP,19726,97497
AURORA,CASIGURAN,MAYOR,,"SORIANO, ROY",LDP,11490,97750
AURORA,DILASAG,MAYOR,,"ALONZO, FRANCISCO",LDP,5256,96985
AURORA,DINALUNGAN,MAYOR,,"TORRES, MANUEL",LDP,4460,98507
AURORA,DINGALAN,MAYOR,,"TAAY, AURORA",LDP,12697,98762
AURORA,DIPACULAO,MAYOR,,"TOLENTINO, DANNY",LDP,15496,97999
AURORA,MARIA AURORA,MAYOR,,"BITONG, ARIEL",LDP,13477,98246
AURORA,SAN LUIS,MAYOR,,"DE JESUS, ARIEL",LDP,10725,97244
BASILAN,AKBAR,MAYOR,,"SALI, ALIH",UBJP,6730,275572
BASILAN,AL-BARKA,MAYOR,,"TOKONG, MAR",UNA,5675,274176
BASILAN,CITY OF ISABELA,MAYOR,,"HATAMAN, DADAH",BUP,31558,273619
BASILAN,CITY OF LAMITAN,MAYOR,,"FURIGAY, ORIC",PFP,36438,276654
BASILAN,HADJI MOHAMMAD AJUL,MAYOR,,"PAWAKI, TIRMIJI",PFP,9249,276380
BASILAN,HADJI MUHTAMAD,MAYOR,,"NANOH, ARSINA",PFP,8518,276923
BASILAN,LANTAWAN,MAYOR,,"ABUBAKAR, NASSER",PFP,14704,273895
BASILAN,MALUSO,MAYOR,,"HATAMAN, KAISER",PFP,15817,275009
BASILAN,SUMISIP,MAYOR,,"HATAMAN, JUL-ADNAN",PFP,16298,274459
BASILAN,TABUAN-LASA,MAYOR,,"MANISAN, MONER",PFP,11859,274730
BASILAN,TIPO-TIPO,MAYOR,,"ISTARUL, ARCAM",PFP,10358,275837
BASILAN,TUBURAN,MAYOR,,"KALLAHAL, DURIE",BUP,6108,276114
BASILAN,UNGKAYA PUKAN,MAYOR,,"MATURAN, JOMAR",PFP,6761,275283
BATAAN,ABUCAY,MAYOR,,"PABUSTAN, WANGBU",PFP,19088,104867
BATAAN,BAGAC,MAYOR,,"DEL ROSARIO, RON",PFP,17029,106607
BATAAN,CITY OF BALANGA,MAYOR,,"GARCIA, RAQUEL",PFP,54304,106120
BATAAN,DINALUPIHAN,MAYOR,,"SANTOS, TONG",NUP,55620,107102
BATAAN,HERMOSA,MAYOR,,"RELLOSA, PATRICK",PDPLBN,33065,105620
BATAAN,LIMAY,MAYOR,,"DAVID, RICHIE",PFP,30171,105115
BATAAN,MARIVELES,MAYOR,,"CONCEPCION, KUYA AJ",NUP,47079,104367
BATAAN,MORONG,MAYOR,,"LINAO-MUÑOZ, LEILA",NUP,12722,105867
BATAAN,ORANI,MAYOR,,"ROMAN, EM",NP,32825,106855
BATAAN,ORION,MAYOR,,"FUSTER, REX-RJ-RAYMUNDO",NUP,23421,105368
BATAAN,PILAR,MAYOR,,"GARCIA, CES",PFP,22526,106364
BATAAN,SAMAL,MAYOR,,"ORTIGUERRA, RONNIE",PFP,21187,104622
BATANES,BASCO,MAYOR,,"CACCAM, MILO",PFP,2968,239631
BATANES,ITBAYAT,MAYOR,,"CULTURA, JOSEPH",IND,844,239905
BATANES,IVANA,MAYOR,,"AGANA, JERRY",IND,562,240427
BATANES,MAHATAO,MAYOR,,"GALARION, GENES",LP,833,240692
BATANES,SABTANG,MAYOR,,"LADREZA, MEMEN",PFP,727,240167
BATANES,UYUGAN,MAYOR,,"ADAMI, FELIX",NPC,576,239373
BATANGAS,AGONCILLO,MAYOR,,"REYES, ATTY. CINDY",NPC,13710,78464
BATANGAS,ALITAGTAG,MAYOR,,"ABRIGO, MAWEEH",NPC,13177,81066
BATANGAS,BALAYAN,MAYOR,,"CHAVEZ, EFREN",NP,36042,81834
BATANGAS,BALETE,MAYOR,,"MARALIT, WILSON",NP,9418,80813
BATANGAS,BATANGAS CITY,MAYOR,,"CRUZ, ALYSSA",NP,147955,82606
BATANGAS,BAUAN,MAYOR,,"DOLOR, WENDAH KATRINA",NP,26380,79770
BATANGAS,CALATAGAN,MAYOR,,"ZARRAGA, ROGELIO",NPC,22609,80028
BATANGAS,CITY OF CALACA,MAYOR,,"KATIGBAK, JERRY RAPHAEL",NP,46993,78721
BATANGAS,CITY OF LIPA,MAYOR,,"AFRICA, ERIC",NP,194319,82089
BATANGAS,CUENCA,MAYOR,,"MAGPANTAY, ALEX",NPC,11938,79499
BATANGAS,IBAAN,MAYOR,,"SALVAME, JOY",PRP,24656,77710
BATANGAS,LAUREL,MAYOR,,"BRUCE, LYNDON",NPC,17891,78978
BATANGAS,LEMERY,MAYOR,,"ALILIO, IAN KENNETH",NP,26413,81313
BATANGAS,LIAN,MAYOR,,"PEJI, JOSEPH",NP,26003,78212
BATANGAS,LOBO,MAYOR,,"ALFILER, EMONG",LAKAS,12276,82345
BATANGAS,MABINI,MAYOR,,"LUISTRO, NOEL BITRICS",PFP,21442,81573
BATANGAS,MALVAR,MAYOR,,"LAT, EMIL",PFP,22486,80566
BATANGAS,MATAASNAKAHOY,MAYOR,,"GARDIOLA, ENGR. EAREL",NP,12852,79239
BATANGAS,NASUGBU,MAYOR,,"ALBANIO, LARRY",NP,29849,80288
BATANGAS,PADRE GARCIA,MAYOR,,"RIVERA, CELSA",LP,26800,77962
BENGUET,ATOK,MAYOR,,"SMITH, FRANKLIN",LAKAS,5776,293492
BENGUET,BAKUN,MAYOR,,"KIGISAN, BOBOT",LAKAS,4770,291584
BENGUET,BOKOD,MAYOR,,"IGNACIO, ERIK DONN",IND,4851,291850
BENGUET,BUGUIAS,MAYOR,,"KIMAKIM, RONALD",IND,11801,293227
BENGUET,CITY OF BAGUIO,MAYOR,,"OLOWAN, FAUSTINO",PFP,86302,290758
BENGUET,ITOGON,MAYOR,,"GODIO, DAX",LAKAS,17644,291047
