province,city,position,district,candidate_name,party,votes,rank
BUKIDNON,TALAKAG,MAYOR,,"SULATAN, RENZ",NPC,17704,155496
BULACAN,ANGAT,MAYOR,,"AGUSTIN, ARVIN",LAKAS,21797,99564
BULACAN,BALAGTAS,MAYOR,,"SANTIAGO, ANDY ANDREWS",PFP,28159,99016
BULACAN,BOCAUE,MAYOR,,"TUGNA, MR. MAYOR JONI",NUP,53889,100641
BULACAN,BULACAN,MAYOR,,"MENESES, VERGEL",NPC,26967,100114
BULACAN,BUSTOS,MAYOR,,"JUAN, ISKUL",NUP,26344,101702
BULACAN,CALUMPIT,MAYOR,,"CANDELARIA, DOC ZAR",NUP,34891,101443
BULACAN,CITY OF BALIWAG,MAYOR,,"ESTRELLA, FERDIE",NUP,55939,103558
BULACAN,CITY OF MALOLOS,MAYOR,,"NATIVIDAD, CHRISTIANAGILA",NUP,97706,103839
BULACAN,CITY OF MEYCAUAYAN,MAYOR,,"VILLARICA, ATORNI HENRY",PFP,91601,101972
BULACAN,CITY OF SAN JOSE DEL MONTE,MAYOR,,"ROBES, ATE RIDA",PFP,126920,100894
BULACAN,GUIGUINTO,MAYOR,,"CRUZ, BOY",LAKAS,47775,101180
BULACAN,HAGONOY,MAYOR,,"DELA CRUZ, JHANE",PFP,28178,99290
BULACAN,MARILAO,MAYOR,,"SY, ATTY. JEM",PFP,66548,100379
BULACAN,NORZAGARAY,MAYOR,,"GERMAR, MERLYN",NUP,43263,103289
BULACAN,OBANDO,MAYOR,,"RILLERA, ROWELL",PFP,16508,99834
BULACAN,PANDI,MAYOR,,"ROQUE, RICO",NUP,60270,102502
BULACAN,PAOMBONG,MAYOR,,"CASTRO, JC",PFP,19637,103027
BULACAN,PLARIDEL,MAYOR,,"VISTAN, ATE JOCELL",NUP,41290,102762
BULACAN,PULILAN,MAYOR,,"CRUZ, ATTY. IMEE",LAKAS,29186,104109
BULACAN,SAN ILDEFONSO,MAYOR,,"GALVEZ, GAZO",NUP,46862,102242
CAGAYAN,ABULUG,MAYOR,,"VARGAS, JEFF",LAKAS,16062,238091
CAGAYAN,ALCALA,MAYOR,,"ANTONIO, TIN",LP,12322,239110
CAGAYAN,ALLACAPAN,MAYOR,,"FLORIDA, YVONNE",NP,12829,236242
CAGAYAN,AMULUNG,MAYOR,,"RENDON, ELPIDIO",LAKAS,21189,237300
CAGAYAN,APARRI,MAYOR,,"CHAN, BRYAN",IND,15371,236773
CAGAYAN,BAGGAO,MAYOR,,"GAZMEN, ROWEL",LAKAS,30484,234656
CAGAYAN,BALLESTEROS,MAYOR,,"UNITE, VINCENT",LAKAS,11155,235982
CAGAYAN,BUGUEY,MAYOR,,"ANTIPORDA, CERRY",NP,13926,234918
CAGAYAN,CALAYAN,MAYOR,,"LLOPIS, JOSEPH",NP,7376,238601
CAGAYAN,CAMALANIUGAN,MAYOR,,"CABADDU, ISIDRO",NP,10289,238854
CAGAYAN,CLAVERIA,MAYOR,,"GUILLEN, LA",PFP,14175,234127
CAGAYAN,ENRILE,MAYOR,,"DECENA, MIGUEL JR.",NP,9657,235173
CAGAYAN,GATTARAN,MAYOR,,"NOLASCO, MATTHEW",LAKAS,22612,237830
CAGAYAN,GONZAGA,MAYOR,,"DALMACEDA, RELLIE",PFP,8368,237563
CAGAYAN,IGUIG,MAYOR,,"TRINIDAD, FERDINAND",NP,11471,237043
CAGAYAN,LAL-LO,MAYOR,,"PASCUAL, OLIVE",NP,16200,238347
CAGAYAN,LASAM,MAYOR,,"AGATEP, DANDEX",LAKAS,16117,235451
CAGAYAN,PAMPLONA,MAYOR,,"ANTONIO, DIGNA",LAKAS,10247,235714
CAGAYAN,PEÑABLANCA,MAYOR,,"TAGUINOD, INTOY",LAKAS,18569,236505
CAGAYAN,PIAT,MAYOR,,"GUZMAN, LEONEL",IND,8481,234391
CAMARINES NORTE,BASUD,MAYOR,,"DAVOCO, SHUNN FREDERICK",PFP,11545,136479
CAMARINES NORTE,CAPALONGA,MAYOR,,"RICASIO, LUZ",NPC,11726,134331
CAMARINES NORTE,DAET,MAYOR,,"OCHOA, B2K",NPC,27588,136202
CAMARINES NORTE,JOSE PANGANIBAN,MAYOR,,"NON, AYE",PFP,25477,134067
CAMARINES NORTE,LABO,MAYOR,,"BARDON, ALVIN",LP,34608,133542
CAMARINES NORTE,MERCEDES,MAYOR,,"PAJARILLO, ALEXANDER",NPC,17928,135391
CAMARINES NORTE,PARACALE,MAYOR,,"MORENO, ROMEO",PFP,22384,133803
CAMARINES NORTE,SAN LORENZO RUIZ,MAYOR,,"FRANCISCO, RANDY",PFP,6562,135664
CAMARINES NORTE,SAN VICENTE,MAYOR,,"PALMA, BONG",NPC,4571,134596
CAMARINES NORTE,SANTA ELENA,MAYOR,,"MENDOZA, KUYA DYEP",NPC,12045,135131
CAMARINES NORTE,TALISAY,MAYOR,,"MANCENIDO, DONDON",KB,9024,135934
CAMARINES NORTE,VINZONS,MAYOR,,"VALEROS, BOYET",PFP,11913,134863
CAMARINES SUR,BAAO,MAYOR,,"BESINIO, JEFF",NUP,23762,119701
CAMARINES SUR,BALATAN,MAYOR,,"NARITO, JHUN",LAKAS,9565,119191
CAMARINES SUR,BATO,MAYOR,,"ZORILLA, DADO",PFP,15313,119959
CAMARINES SUR,BOMBON,MAYOR,,"ANGELES, TYSON",NUP,6941,122267
CAMARINES SUR,BUHI,MAYOR,,"LACOSTE, RPL",NUP,26573,118671
CAMARINES SUR,BULA,MAYOR,,"IBASCO, NONOY",NUP,24272,120211
CAMARINES SUR,CABUSAO,MAYOR,,"AGUILAR, JUN",NUP,6587,121750
CAMARINES SUR,CALABANGA,MAYOR,,"DE VILLA, VIC",NUP,23742,122526
CAMARINES SUR,CAMALIGAN,MAYOR,,"IBARDALOZA, DIANO JR.",NUP,8230,120469
CAMARINES SUR,CANAMAN,MAYOR,,"LEGASPI, NELSON",NUP,10206,118929
CAMARINES SUR,CARAMOAN,MAYOR,,"OBIAS, DON",NUP,14547,120734
CAMARINES SUR,CITY OF IRIGA,MAYOR,,"OLIVA, REX",NUP,45454,120987
CAMARINES SUR,DEL GALLEGO,MAYOR,,"ABARIENTOS, MELANIE",NUP,11976,123042
CAMARINES SUR,GAINZA,MAYOR,,"GONTANG, GLENN",NUP,5410,121498
CAMARINES SUR,GARCHITORENA,MAYOR,,"BUEZA, NELSON",PFP,9610,122788
CAMARINES SUR,GOA,MAYOR,,"PAN, MARCEL MICHAEL",PFP,21441,121247
CAMARINES SUR,LAGONOY,MAYOR,,"REMOTO, JERRY JAKE",PFP,22706,119449
CAMARINES SUR,LIBMANAN,MAYOR,,"MARFIL, EDELSON",PFP,28458,122005
CAMARINES SUR,LUPI,MAYOR,,"JACINTO, TOPI",NUP,10188,118415
CAMARINES SUR,MAGARAO,MAYOR,,"SEÑAR, ATTY. MM",NUP,9117,123300
CAMIGUIN,CATARMAN,MAYOR,,"PALARCA, KIT",LAKAS,8202,163633
CAMIGUIN,GUINSILIBAN,MAYOR,,"RUBIN, JOANNE MARIE",LAKAS,3873,163124
CAMIGUIN,MAHINOG,MAYOR,,"GALOCHINO, NERIO",LAKAS,7116,163893
CAMIGUIN,MAMBAJAO,MAYOR,,"ROMUALDO, YGGY",LAKAS,18609,163379
CAMIGUIN,SAGAY,MAYOR,,"YANGCO, NIEL JOHN",LAKAS,5428,162870
CAPIZ,CITY OF ROXAS,MAYOR,,"DADIVAS, RONNIE",1CAPIZ,70692,359441
CAPIZ,CUARTERO,MAYOR,,"OPENIANO, STEPHEN",1CAPIZ,11655,360712
CAPIZ,DAO,MAYOR,,"BARRUELA, JOSE JIMBO",1CAPIZ,14019,361827
CAPIZ,DUMARAO,MAYOR,,"HACHUELA, ATTY. MATT",1CAPIZ,21328,358915
CAPIZ,IVISAN,MAYOR,,"YAP, RJ",1CAPIZ,14736,361319
CAPIZ,JAMINDAN,MAYOR,,"VESTIDAS, ARAN",1CAPIZ,16741,360461
CAPIZ,MA-AYON,MAYOR,,"MALAPAJO, MON-MON",1CAPIZ,17526,359701
CAPIZ,MAMBUSAO,MAYOR,,"LABAO, JUN",PDPLBN,15480,362340
CAPIZ,PANAY,MAYOR,,"BESA, SONNY",PFP,16396,358659
CAPIZ,PANITAN,MAYOR,,"DEQUIÑA-BELO, KIT",1CAPIZ,15431,360210
CAPIZ,PILAR,MAYOR,,"PEREZ, DODOY ARNOLD",PFP,17336,360975
CAPIZ,PONTEVEDRA,MAYOR,,"OQUENDO, FERNE",1CAPIZ,14286,362082
CAPIZ,PRESIDENT ROXAS,MAYOR,,"PASTRANA, JHEFFERSON",IND,11160,359178
CAPIZ,SAPI-AN,MAYOR,,"VILLANUEVA, JOE",1CAPIZ,13396,362598
CAPIZ,SIGMA,MAYOR,,"ALAYON, TOTO",PDPLBN,10831,359951
CAPIZ,TAPAZ,MAYOR,,"PALOMAR, NONONG",PDPLBN,17917,361572
CATANDUANES,BAGAMANOC,MAYOR,,"VILLALUNA, KUYA VINCE",IND,4248,117121
CATANDUANES,BARAS,MAYOR,,"TEVES, PAOLO",LAKAS,7375,117642
CATANDUANES,BATO,MAYOR,,"TESTON, ATOY",LAKAS,8755,118168
CATANDUANES,CARAMORAN,MAYOR,,"AGUILAR, GLENDA",LAKAS,11225,115808
CATANDUANES,GIGMOTO,MAYOR,,"TAYAM, AT-AT",LAKAS,4186,116599
CATANDUANES,PANDAN,MAYOR,,"RODRIGUEZ, ERIC",LAKAS,7973,116075
CATANDUANES,PANGANIBAN,MAYOR,,"ROBLES, CESAR",LAKAS,4041,116335
CATANDUANES,SAN ANDRES,MAYOR,,"ROMANO, ALY",PFP,15088,115541
CATANDUANES,SAN MIGUEL,MAYOR,,"TEVES, ANTONIO",PFP,5967,117907
CATANDUANES,VIGA,MAYOR,,"TARIN, BONG",LAKAS,6992,116862
CATANDUANES,VIRAC,MAYOR,,"SARMIENTO, POSOY",PFP,22645,117384
CAVITE,ALFONSO,MAYOR,,"SALAMAT, RANDY",NUP,25873,63741
CAVITE,AMADEO,MAYOR,,"LEGASPI, JOSEPH",NUP,15059,62219
CAVITE,CITY OF BACOOR,MAYOR,,"REVILLA, STRIKE",NP,172187,63984
CAVITE,CITY OF CARMONA,MAYOR,,"LOYOLA, DAHLIA",NPC,48744,63482
CAVITE,CITY OF CAVITE,MAYOR,,"CHUA, DENVER",LAKAS,50325,62459
CAVITE,CITY OF DASMARIÑAS,MAYOR,,"BARZAGA, JENNIFER",NUP,260308,62717
CAVITE,CITY OF GENERAL TRIAS,MAYOR,,"FERRER, LUIS IV",NUP,128077,64473
CAVITE,CITY OF IMUS,MAYOR,,"SAQUILAYAN, HOMER",NUP,140016,65773
CAVITE,CITY OF TAGAYTAY,MAYOR,,"TOLENTINO, AGNES",NUP,36662,64233
CAVITE,GENERAL EMILIO AGUINALDO,MAYOR,,"GLEAN, DENNIS",NUP,8235,66551
CAVITE,INDANG,MAYOR,,"PAPA, FERDI",NUP,23685,64986
CAVITE,KAWIT,MAYOR,,"AGUINALDO, ANGELO",LAKAS,29541,66045
CAVITE,MAGALLANES,MAYOR,,"MALIGAYA, JANESSA ANN",NPC,10934,64729
CAVITE,MARAGONDON,MAYOR,,"ARCA, UMBE",NPC,17238,65246
CAVITE,MENDEZ,MAYOR,,"MENDOZA, FRANCISCO JR.",NUP,14238,66803
CAVITE,NAIC,MAYOR,,"REMULLA, JACINTA MARIA",NPC,61108,66300
CAVITE,NOVELETA,MAYOR,,"CHUA, DINO",LAKAS,17017,63235
CAVITE,ROSARIO,MAYOR,,"RICAFRENTE, VOLTAIRE",LAKAS,57390,62990
CAVITE,SILANG,MAYOR,,"ANARNA, ATTY KEVIN",NUP,54787,65504
CAVITE,TANZA,MAYOR,,"MATRO, SM",NUP,67949,67052
CEBU,ALCANTARA,MAYOR,,"LASTIMOSO, FRITZ",1CEBU,9860,22416
CEBU,ALCOY,MAYOR,,"SINGSON, EUGENE",1CEBU,10240,23702
CEBU,ALEGRIA,MAYOR,,"MAGALLON, VERNA",1CEBU,11229,24258
CEBU,ALOGUINSAN,MAYOR,,"MORENO, CHRISTIAN",1CEBU,13669,21415
CEBU,ARGAO,MAYOR,,"SESALDO, ALLAN",1CEBU,27358,20135
CEBU,ASTURIAS,MAYOR,,"DUMDUM, DONGKOY",1CEBU,18125,21667
CEBU,BADIAN,MAYOR,,"LIBRANDO, JEROME",1CEBU,14993,22664
CEBU,BALAMBAN,MAYOR,,"BINGHAY, ALFIE",1CEBU,22401,19638
CEBU,BANTAYAN,MAYOR,,"DESPI, ART",1CEBU,25654,24762
CEBU,BARILI,MAYOR,,"GARCIA, JOHN-JOHN",1CEBU,34854,20648
CEBU,BOLJOON,MAYOR,,"MUBARAK OBAID, INDAY",1CEBU,6808,27044
CEBU,BORBON,MAYOR,,"DOTILLOS, NOEL",1CEBU,15983,25265
CEBU,CARMEN,MAYOR,,"VILLAMOR, CARLO",1CEBU,28212,26534
CEBU,CATMON,MAYOR,,"GINOO-MONLEON, AVIS",1CEBU,13080,27547
CEBU,CITY OF BOGO,MAYOR,,"MARTINEZ, CARLO JOSE",1CEBU,40281,24512
CEBU,CITY OF CARCAR,MAYOR,,"BARCENAS, PATRICK",NP,45889,26780
CEBU,CITY OF CEBU,MAYOR,,"ARCHIVAL, NESTOR-BOPK",LP,256197,23946
CEBU,CITY OF LAPU-LAPU,MAYOR,,"SITOY, CELSI",PFP,145995,23188
CEBU,CITY OF MANDAUE,MAYOR,,"OUANO, JONKIE",LAKAS,101549,25518
CEBU,CITY OF NAGA,MAYOR,,"CHIONG, VALDEMAR",NP,63102,25010
CEBU,COMPOSTELA,MAYOR,,"QUIÑO, FELIJUR",1CEBU,28547,18115
CEBU,CONSOLACION,MAYOR,,"ALEGADO-PEPITO, NENE",LAKAS,39332,22920
CEBU,CORDOVA,MAYOR,,"SUAN, DIDOY",1CEBU,30728,17861
CEBU,DAANBANTAYAN,MAYOR,,"ABUCAY, ALI",1CEBU,25176,27295
CEBU,DALAGUETE,MAYOR,,"LAGAHID, WILLIAM",1CEBU,24500,19127
CEBU,DANAO CITY,MAYOR,,"DURANO, NITO",BAKUD,56126,20390
CEBU,DUMANJUG,MAYOR,,"GICA, GUNGUN",1CEBU,28950,19892
CEBU,GINATILAN,MAYOR,,"SINGCO, ROY VINCENT",1CEBU,8390,21168
CEBU,LILOAN,MAYOR,,"FRASCO, ALJEW",1CEBU,56333,26284
CEBU,MADRIDEJOS,MAYOR,,"VILLACERAN, ROMEO",1CEBU,18460,26031
CEBU,MALABUYOC,MAYOR,,"PIEDAD, EDANG",1CEBU,11517,22170
CEBU,MEDELLIN,MAYOR,,"MONDIGO, BENJUN",1CEBU,24018,20901
CEBU,MINGLANILLA,MAYOR,,"ENAD, ATTY. RAJIV",NP,61914,21920
CEBU,MOALBOAL,MAYOR,,"HANIKA, JINKY",1CEBU,17793,18625
CEBU,OSLOB,MAYOR,,"GUAREN, RONALD",1CEBU,10427,23451
CEBU,PILAR,MAYOR,,"SANTIAGO, WINKEY",1CEBU,4799,17610
CEBU,PINAMUNGAJAN,MAYOR,,"BARICUATRO, GLENN",1CEBU,32817,18371
CEBU,PORO,MAYOR,,"RAMA, DINA",1CEBU,9896,18877
CEBU,RONDA,MAYOR,,"GABATAN, ROCKY",1CEBU,11055,25783
CEBU,SAMBOAN,MAYOR,,"GAMALLO, IRVING",1CEBU,11013,19381
COTABATO,ALAMADA,MAYOR,,"SACDALAN, JESUS",NPC,21816,6776
COTABATO,ALEOSAN,MAYOR,,"CABAYA, TOTO EDDIE",PFP,15525,7534
COTABATO,ANTIPAS,MAYOR,,"CADUNGON, CRIS",NP,9139,9056
COTABATO,ARAKAN,MAYOR,,"VILLASOR, NONOY",NP,21060,5765
COTABATO,BANISILAN,MAYOR,,"ALISASIS, JESUS",LAKAS,21967,8034
COTABATO,CARMEN,MAYOR,,"TALIÑO, ROGER RYAN",IND,39109,7788
COTABATO,CITY OF KIDAPAWAN,MAYOR,,"LAMATA, MELVIN JR.",NPC,55434,8796
COTABATO,KABACAN,MAYOR,,"GUZMAN, GELYN",NP,34762,6526
COTABATO,LIBUNGAN,MAYOR,,"FULLECIDO, JIMBOY",NP,22844,7285
COTABATO,M'LANG,MAYOR,,"ABONADO, DOK AWING",LDP,26423,9304
COTABATO,MAGPET,MAYOR,,"GONZAGA, KUYA JAY",NP,25617,9559
COTABATO,MAKILALA,MAYOR,,"QUIBOD, ARMANDO",PFP,41550,7034
COTABATO,MATALAM,MAYOR,,"VALDEVIESO, OSCAR",NPC,22028,8538
COTABATO,MIDSAYAP,MAYOR,,"SACDALAN, ROLLY UR DA MAN",NP,32606,5263
COTABATO,PIGKAWAYAN,MAYOR,,"CASI, NIEL JAKE",NP,18295,6017
COTABATO,PIKIT,MAYOR,,"SULTAN-CASI, MUHYRYN",NP,28470,8285
COTABATO,PRESIDENT ROXAS,MAYOR,,"MAHIMPIT, JONATHAN",NP,21295,5522
COTABATO,TULUNAN,MAYOR,,"VILLASOR, LEE ROY",LDP,19350,6270
DAVAO DE ORO,COMPOSTELA,MAYOR,,"EBDAO, LEVI",LAKAS,32289,165217
DAVAO DE ORO,LAAK,MAYOR,,"LIBUANGAN, HONEYBOY",LAKAS,28918,164149
DAVAO DE ORO,MABINI,MAYOR,,"LUEGO, MM",PFP,16020,164955
DAVAO DE ORO,MACO,MAYOR,,"RIMANDO, DOC ALVIE",PFP,30708,165996
DAVAO DE ORO,MARAGUSAN,MAYOR,,"COLINA, CESAR",LAKAS,21247,166776
DAVAO DE ORO,MAWAB,MAYOR,,"APIT, MYRILL",LAKAS,12969,166516
DAVAO DE ORO,MONKAYO,MAYOR,,"BRILLANTES, MANUEL JR.",LAKAS,44229,165740
DAVAO DE ORO,MONTEVISTA,MAYOR,,"BASALO, CYREX",PFP,15057,164692
DAVAO DE ORO,NABUNTURAN,MAYOR,,"CLARIN-BALILI, MYROCEL",PFP,27489,165478
DAVAO DE ORO,NEW BATAAN,MAYOR,,"CUALING-BRUA, BIANCA",LAKAS,19151,166253
DAVAO DE ORO,PANTUKAN,MAYOR,,"CENIZA, KUYA NOY",IND,40490,164422
DAVAO DEL NORTE,ASUNCION,MAYOR,,"DAYADAY, EUFRACIO JR.",LAKAS,17729,173943
DAVAO DEL NORTE,BRAULIO E. DUJALI,MAYOR,,"RUBINOS, INDAY",LAKAS,12696,171480
DAVAO DEL NORTE,CARMEN,MAYOR,,"PERANDOS, MARCHELL",LAKAS,39607,172017
DAVAO DEL NORTE,CITY OF PANABO,MAYOR,,"RELAMPAGOS, JOSE",PFP,70785,171742
DAVAO DEL NORTE,CITY OF TAGUM,MAYOR,,"UY, REY",LAKAS,91502,172289
DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,MAYOR,,"REYES, TOTO",IND,35758,172839
DAVAO DEL NORTE,KAPALONG,MAYOR,,"TIMBOL, EDGARDO",PFP,22217,173396
DAVAO DEL NORTE,NEW CORELLA,MAYOR,,"FEDERISO, MONET",PFP,18574,171213
DAVAO DEL NORTE,SAN ISIDRO,MAYOR,,"CAFE, DAGDAG",LAKAS,8377,172569
DAVAO DEL NORTE,SANTO TOMAS,MAYOR,,"DEJESICA, ANGKOL",LAKAS,38798,173659
DAVAO DEL NORTE,TALAINGOD,MAYOR,,"GIPULLA, DONDON",PFP,5962,173130
DAVAO DEL SUR,BANSALAN,MAYOR,,"REYES, EDWIN",NP,26426,174478
DAVAO DEL SUR,CITY OF DAVAO,MAYOR,,"DUTERTE, RODY",HTL,662630,175003
DAVAO DEL SUR,CITY OF DIGOS,MAYOR,,"BAÑA, JOHARI",IND,71426,176357
DAVAO DEL SUR,HAGONOY,MAYOR,,"PADEN, VINCENT ALEXES",NP,18395,176622
DAVAO DEL SUR,KIBLAWAN,MAYOR,,"CALMA, JOJO",NPC,13780,175575
DAVAO DEL SUR,MAGSAYSAY,MAYOR,,"SARANDE, RONIE",NPC,27859,176889
DAVAO DEL SUR,MALALAG,MAYOR,,"VALENTIN, VALTAN-ZORRAH",NP,15534,174212
DAVAO DEL SUR,MATANAO,MAYOR,,"AGBON, IRICK",NP,18733,174744
DAVAO DEL SUR,PADADA,MAYOR,,"GUERRERO, FRASHALE",NP,9788,175835
DAVAO DEL SUR,SANTA CRUZ,MAYOR,,"SALA, TATA",LAKAS,32642,176097
DAVAO DEL SUR,SULOP,MAYOR,,"SAGARINO, JOSE JIMMY",NP,21384,175324
DAVAO OCCIDENTAL,DON MARCELINO,MAYOR,,"MARUYA, MARK EDWARD",PFP,10274,170443
DAVAO OCCIDENTAL,JOSE ABAD SANTOS,MAYOR,,"JOYCE, JASON",PFP,19846,170185
DAVAO OCCIDENTAL,MALITA,MAYOR,,"BAUTISTA, BRADLY",PFP,42198,169929
DAVAO OCCIDENTAL,SANTA MARIA,MAYOR,,"BAUTISTA, DINKO",NPC,26219,170695
DAVAO OCCIDENTAL,SARANGANI,MAYOR,,"DE ARCE, ADELAN",NPC,7472,170948
DAVAO ORIENTAL,BAGANGA,MAYOR,,"TAYA, LARY",LAKAS,18789,168626
DAVAO ORIENTAL,BANAYBANAY,MAYOR,,"LARCIA, IAN",LAKAS,19117,169152
DAVAO ORIENTAL,BOSTON,MAYOR,,"ROSIT, ROWELL",LAKAS,6471,168892
DAVAO ORIENTAL,CARAGA,MAYOR,,"OSNAN, RONIE",LAKAS,14361,167567
DAVAO ORIENTAL,CATEEL,MAYOR,,"NUÑEZ, MILOY",PFP,14646,168355
DAVAO ORIENTAL,CITY OF MATI,MAYOR,,"ALMARIO, MAYO",LAKAS,52714,167828
DAVAO ORIENTAL,GOVERNOR GENEROSO,MAYOR,,"INOJALES, JUANITO",LAKAS,21282,167039
DAVAO ORIENTAL,LUPON,MAYOR,,"GO, CHRISTIAN CHRENCE",IND,29302,169412
DAVAO ORIENTAL,MANAY,MAYOR,,"DAYANGHIRANG, JM",LAKAS,20304,168090
DAVAO ORIENTAL,SAN ISIDRO,MAYOR,,"GO, ANGEL",LAKAS,15636,167302
DAVAO ORIENTAL,TARRAGONA,MAYOR,,"UY, NESTOR",PFP,11014,169674
DINAGAT ISLANDS,BASILISA,MAYOR,,"PIODO, JOJO",LAKAS,8872,253232
DINAGAT ISLANDS,CAGDIANAO,MAYOR,,"LONGOS, DENDEN",IND,9818,252724
DINAGAT ISLANDS,DINAGAT,MAYOR,,"EDILLOR, JONATHAN",LAKAS,4954,253755
DINAGAT ISLANDS,LIBJO,MAYOR,,"COMPASIVO, MELODY",LAKAS,7428,252466
DINAGAT ISLANDS,LORETO,MAYOR,,"LADAGA, DOAN",LAKAS,5240,252975
DINAGAT ISLANDS,SAN JOSE,MAYOR,,"PASQUIL, RECHARD",LAKAS,7892,254014
DINAGAT ISLANDS,TUBAJON,MAYOR,,"PEDRABLANCA, FELY",AKBYN,2604,253483
EASTERN SAMAR,ARTECHE,MAYOR,,"EVARDONE, BOWAD",PFP,7366,191647
EASTERN SAMAR,BALANGIGA,MAYOR,,"DE LIRA, DANA",PFP,5754,189573
EASTERN SAMAR,BALANGKAYAN,MAYOR,,"CONTADO, ALLAN",PFP,4271,192422
EASTERN SAMAR,CAN-AVID,MAYOR,,"TEVES, ALICIA",PFP,9898,190598
EASTERN SAMAR,CITY OF BORONGAN,MAYOR,,"TIU SONCO, EMMANUEL",LAKAS,26277,193733
EASTERN SAMAR,DOLORES,MAYOR,,"CARPESO, ZALDY",PFP,14409,191121
EASTERN SAMAR,GENERAL MACARTHUR,MAYOR,,"BALDO, JOEL",PFP,4883,189317
EASTERN SAMAR,GIPORLOS,MAYOR,,"GO, GILBERT",PFP,5705,190860
EASTERN SAMAR,GUIUAN,MAYOR,,"CABACABA-RAMIREZ, VERONICA(PFP",,25384,189062
EASTERN SAMAR,HERNANI,MAYOR,,"PONFERRADA, SOCORRO",IND,4277,190086
EASTERN SAMAR,JIPAPAD,MAYOR,,"VER, BENJAMIN",PFP,3872,191902
EASTERN SAMAR,LAWAAN,MAYOR,,"MENDROS, ATHENE",LAKAS,6921,192682
EASTERN SAMAR,LLORENTE,MAYOR,,"CONDRADA, JONNIE",PFP,6609,192163
EASTERN SAMAR,MASLOG,MAYOR,,"SANTIAGO, SEPTEMIO BOK",PFP,3015,189834
EASTERN SAMAR,MAYDOLONG,MAYOR,,"BORJA, LOUIE",IND,5289,192940
EASTERN SAMAR,MERCEDES,MAYOR,,"QUIMINALES, EDWIN",LAKAS,2882,193468
EASTERN SAMAR,ORAS,MAYOR,,"ADOR, ORAMISMO",LAKAS,13052,191388
EASTERN SAMAR,QUINAPONDAN,MAYOR,,"CANDIDO, LEO JASPER",PFP,5032,190339
EASTERN SAMAR,SALCEDO,MAYOR,,"MERGAL, MELCHOR",PFP,7330,193988
EASTERN SAMAR,SAN JULIAN,MAYOR,,"ESTARON, DENNIS",LAKAS,4726,193201
GUIMARAS,BUENAVISTA,MAYOR,,"GUMARIN, SAMUEL",NUP,23204,363105
GUIMARAS,JORDAN,MAYOR,,"NAVA, ANNA PHILIPPA",NUP,14483,363871
GUIMARAS,NUEVA VALENCIA,MAYOR,,"GALILA, MANNY",NUP,19759,363358
GUIMARAS,SAN LORENZO,MAYOR,,"GAJO, JIMMY",NUP,10109,362850
GUIMARAS,SIBUNAG,MAYOR,,"VILCHES, LUBEN",IND,8210,363609
IFUGAO,AGUINALDO,MAYOR,,"TALUSIG, CLEMENTE",PFP,6965,294023
IFUGAO,ALFONSO LISTA,MAYOR,,"DOMINGUEZ, AGAPITO JR",NPC,16202,295888
IFUGAO,ASIPULO,MAYOR,,"QUINDO, ARCHIE LEE",IND,6923,293759
IFUGAO,BANAUE,MAYOR,,"MONGOLNON, DONALD",IND,6829,294821
IFUGAO,HINGYON,MAYOR,,"NALULA, LOLEN",PFP,4722,294550
IFUGAO,HUNGDUAN,MAYOR,,"DUMULAG, CASAN",IND,4714,296156
IFUGAO,KIANGAN,MAYOR,,"BAGUILAT, MICHELLE ALICE",IND,7167,294287
IFUGAO,LAGAWE,MAYOR,,"DANGAYO, JUN",NPC,7550,295623
IFUGAO,LAMUT,MAYOR,,"BUYAGAWAN, MARIANO JR.",IND,8388,295087
IFUGAO,MAYOYAO,MAYOR,,"PADCHANAN, JIMMY JR.",NPC,4691,296425
IFUGAO,TINOC,MAYOR,,"BENITO, SAMSON",NPC,5737,295348
ILOCOS NORTE,ADAMS,MAYOR,,"DOMINGO, HOMER",NP,776,332738
ILOCOS NORTE,BACARRA,MAYOR,,"DELA CRUZ, NICOMEDES JR",NP,14489,328967
ILOCOS NORTE,BADOC,MAYOR,,"CAJIGAL, GLENND GEORGE",IND,11293,333005
ILOCOS NORTE,BANGUI,MAYOR,,"GARVIDA, DENTON LAWRENCE",NP,7888,333512
ILOCOS NORTE,BANNA,MAYOR,,"ABADILLA, MARY CHRISLYN",NP,9953,329977
ILOCOS NORTE,BURGOS,MAYOR,,"GARCIA, CRESCENTE",NP,4990,332229
ILOCOS NORTE,CARASI,MAYOR,,"GASPAR, MARIEL",IND,921,333262
ILOCOS NORTE,CITY OF BATAC,MAYOR,,"CHUA, ALBERT",NP,22113,331468
ILOCOS NORTE,CITY OF LAOAG,MAYOR,,"FARIÑAS, CARLOS",PDR,40387,329484
ILOCOS NORTE,CURRIMAO,MAYOR,,"QUILALA, JUDITH",NP,5389,331974
ILOCOS NORTE,DINGRAS,MAYOR,,"VALENZUELA, ERDIO",NP,17553,330965
ILOCOS NORTE,DUMALNEG,MAYOR,,"ESPIRITU, FRANCIS",NP,1614,331722
ILOCOS NORTE,MARCOS,MAYOR,,"MARIANO, TONY",NP,8772,330469
ILOCOS NORTE,NUEVA ERA,MAYOR,,"GARVIDA, ALDRIN",NP,5419,329734
