Last Name,First Name,Middle Name,Title,Full Name,Position,Party,Year,Province,City,Region,Sex
SAUDARAMAUNA,SAMBOLINANG MUNDAG,PADATE,,"SAUDARAMAUNA, SAMBOLINANG MUNDAG PADATE",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,F
BENANING,NASR.ODIN,LANGCAT,,"BENANING, NASR.ODIN LANGCAT",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,M
DAGALANGIT,MAHAD,MENTUNG,,"DAGALANGIT, MAHAD MENTUNG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,M
DAGALANGIT,DONDON,BANSAO,,"DAGALANGIT, DONDON BANSAO",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,M
LAO,EDRIS,LADIAWAN,,"LAO, EDRIS LADIAWAN",MAYOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBATAN,,M
USMAN-LIMBONA,OSOP,PITUMANAN,,"USMAN-LIMBONA, OSOP PITUMANAN",VICE MAYOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBATAN,,M
MACALANGGAN,JAMEL,MUA,,"MACALANGGAN, JAMEL MUA",COUNCILOR,PMP,2001,LANAO DEL SUR,LUMBATAN,,M
LAWI,COSMAR,MAMACOTAO,,"LAWI, COSMAR MAMACOTAO",COUNCILOR,PMP,2001,LANAO DEL SUR,LUMBATAN,,M
MARANDACAN,MOH'D FAIS,MUA,,"MARANDACAN, MOH'D FAIS MUA",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBATAN,,M
UNDI,JAMIL,DIMASNGKAY,,"UNDI, JAMIL DIMASNGKAY",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBATAN,,M
MACMOD,HARIS,MINDAMAG,,"MACMOD, HARIS MINDAMAG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBATAN,,M
BUSRAN,CALIMA,ALIB,,"BUSRAN, CALIMA ALIB",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBATAN,,M
LIMBONA,MACABAYAO,MANGIGIN,,"LIMBONA, MACABAYAO MANGIGIN",COUNCILOR,PMP,2001,LANAO DEL SUR,LUMBATAN,,M
DUMAGAY,DALIL,SUMPAD,,"DUMAGAY, DALIL SUMPAD",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBATAN,,M
ASUM,SALAMONA,LANGLANG,,"ASUM, SALAMONA LANGLANG",MAYOR,PMP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
BANGCOLA,ANDY,BORING,,"BANGCOLA, ANDY BORING",VICE MAYOR,PMP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
AMERODIN,MOHAIMEN,PASCAN,,"AMERODIN, MOHAIMEN PASCAN",COUNCILOR,PMP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
LANGLANG,ABOLAIS,GUNTING,,"LANGLANG, ABOLAIS GUNTING",COUNCILOR,PMP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
MACASIMBAR,ALI HADJI,-,,"MACASIMBAR, ALI HADJI -",COUNCILOR,PMP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
SARIP MACRE,SAMORANAO,MANAROS,,"SARIP MACRE, SAMORANAO MANAROS",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
DIMAAMPAO,BOMIDEN,MACARONSING,,"DIMAAMPAO, BOMIDEN MACARONSING",COUNCILOR,LAMMP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
OMAR,MASOOD,BANGCOLA,,"OMAR, MASOOD BANGCOLA",COUNCILOR,LAMMP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
GUNTING,AMINODEN,MANAROS,,"GUNTING, AMINODEN MANAROS",COUNCILOR,PMP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
MAGARANG,JAMAEL,ALI,,"MAGARANG, JAMAEL ALI",COUNCILOR,LP,2001,LANAO DEL SUR,LUMBAYANAGUE,,M
SARANGANI,SORAIDA,MINDALANO,,"SARANGANI, SORAIDA MINDALANO",MAYOR,UMMAH,2001,LANAO DEL SUR,MADALUM,,F
SARIP,RASCAL ANGNI,MACABABA,,"SARIP, RASCAL ANGNI MACABABA",VICE MAYOR,INDEPENDENT,2001,LANAO DEL SUR,MADALUM,,M
ABDULLAH,NADER,DIMALA,,"ABDULLAH, NADER DIMALA",COUNCILOR,UMMAH,2001,LANAO DEL SUR,MADALUM,,M
TANTAO,AMINODEN,AMPASO,,"TANTAO, AMINODEN AMPASO",COUNCILOR,UMMAH,2001,LANAO DEL SUR,MADALUM,,M
ANGNI-MACABADA,LOMINOG,MANIRI,,"ANGNI-MACABADA, LOMINOG MANIRI",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,MADALUM,,M
YASIN,SIHAWI,DECAMPONG,,"YASIN, SIHAWI DECAMPONG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,MADALUM,,M
MALAWI,NORJANAH,OMAR-MACARIMBANG,,"MALAWI, NORJANAH OMAR-MACARIMBANG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,MADALUM,,F
MACARAO,ALIODEN,AMER,,"MACARAO, ALIODEN AMER",COUNCILOR,PMP,2001,LANAO DEL SUR,MADALUM,,M
AMBOR,ABDULLAH,HASSAN,,"AMBOR, ABDULLAH HASSAN",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,MADALUM,,M
COSAIN,MALIK,MAULANA,,"COSAIN, MALIK MAULANA",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,MADALUM,,M
MINDALANO,JALILAH,UMPA-MACALBE,,"MINDALANO, JALILAH UMPA-MACALBE",MAYOR,PMP,2001,LANAO DEL SUR,MADAMBA,,M
MINDALANO,MAPANDI MAWALI-,MAMA,,"MINDALANO, MAPANDI MAWALI- MAMA",VICE MAYOR,PMP,2001,LANAO DEL SUR,MADAMBA,,M
CABUGATAN,ALMAR,SAUMAY,,"CABUGATAN, ALMAR SAUMAY",COUNCILOR,PMP,2001,LANAO DEL SUR,MADAMBA,,M
MACMOD,MAMONDIONG,AMPASO,,"MACMOD, MAMONDIONG AMPASO",COUNCILOR,PMP,2001,LANAO DEL SUR,MADAMBA,,M
UMPA,PAISAL,MINDALANO-COSAIN,,"UMPA, PAISAL MINDALANO-COSAIN",COUNCILOR,PMP,2001,LANAO DEL SUR,MADAMBA,,M
AMPASO,ALIMOSA,ALUYODAN,,"AMPASO, ALIMOSA ALUYODAN",COUNCILOR,PMP,2001,LANAO DEL SUR,MADAMBA,,M
NAGA,H. UNOS,MANARDAS,,"NAGA, H. UNOS MANARDAS",COUNCILOR,PMP,2001,LANAO DEL SUR,MADAMBA,,M
