year,region,province,city,position,candidate_name,party,votes
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","AMINOLA, SAINOLA",IND,3504
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","MANALOCON, ODEN",PDP,3455
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","ADIAD, MISUARIE",IND,3381
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","CAMID, MULILODA HANIL",IND,3052
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","SARIP, HASSANOR",OP,2777
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","PANGILAMUN, CAMAR",IND,2446
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","SIDIC, ABUBAKAR",IND,2335
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","MARMAY, ABULKHAYR",IND,1904
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","MAPIA, NABEEL",IND,1006
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","MACABUAT-RAMOS, SAMIA",IND,355
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","DATUMANONG, MACAGAAN",IND,228
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","MOLIA, BALMER",IND,209
2013,armm,lanao-del-sur,binidayan,MAYOR,"DATUMULOK, ABDULLAH",LP,775
2013,armm,lanao-del-sur,binidayan,MAYOR,"MULOK, MOHAMMAD HANIF",PDSP,594
2013,armm,lanao-del-sur,binidayan,MAYOR,"RADIA, DIMNATANG",PDP,170
2013,armm,lanao-del-sur,binidayan,VICE-MAYOR,"DATUMULOK, AKIDA",IND,605
2013,armm,lanao-del-sur,binidayan,VICE-MAYOR,"ALI, JAMAL",IND,494
2013,armm,lanao-del-sur,binidayan,VICE-MAYOR,"DATUMULOK, PUNUDARANAO",LP,303
2013,armm,lanao-del-sur,binidayan,VICE-MAYOR,"MOLOK, BARAONTONG",IND,50
2013,armm,lanao-del-sur,binidayan,VICE-MAYOR,"DATUMULOK, MOHAMMAD",IND,29
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","HADJI MALIK, BLAH",LP,750
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","TABUA, LAPULAPU",LP,570
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","RARACO, SALAHODEN",PDSP,558
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MULOK, ALIODEN",LP,533
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","RADIA, AMREX",IND,501
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MOHAMADALI, WIWIE",LP,477
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","PAGAYAWAN, PAPAY",IND,463
