Year,Position,Last,Given,Sex
2004,COUNCILOR,PALOMARES,ROMEO,M
2004,COUNCILOR,PINTOR,PABLO,M
2004,COUNCILOR,AVISO,GLORIA,F
2004,COUNCILOR,GUILLEN,EDGAR,M
2004,COUNCILOR,RIEGO,RUFINO,M
2004,COUNCILOR,VILLEGAS,JUANITO,M
2004,MAYOR,SARMIENTO,BENJAMIN,M
2004,VICE MAYOR,VARILLA,RICHARD,M
2004,COUNCILOR,VALLE,RIZALINA,F
2004,COUNCILOR,BRILLANTES,CESAR,M
2004,COUNCILOR,LAGASCA,NEOFITO,M
2004,COUNCILOR,OCHOSA,PROCESO,M
2004,COUNCILOR,VILORIA,SAMSON,M
2004,COUNCILOR,SORIA,VINCENT,M
2004,COUNCILOR,RAMOS,DOMINADOR,M
2004,COUNCILOR,AYUYANG,ALEXANDER,M
2004,MAYOR,TABANDA,JOSE,M
2004,VICE MAYOR,TABANDA,MA.,F
2004,COUNCILOR,ROJO,ANGELITO,M
2004,COUNCILOR,REYES,ROSAMANTE,M
2004,COUNCILOR,ROJAS,RENATO,M
2004,COUNCILOR,VALENCIA,LUCINA,F
2004,COUNCILOR,RIDULFA,VICENTE,M
2004,COUNCILOR,RIOTOC,CRISOSTOMO,M
2004,COUNCILOR,RIDULME,FLORANTE,M
2004,COUNCILOR,ALONZO,IMELDA,F
2004,MAYOR,BUENO,JESUS,M
2004,VICE MAYOR,TEJADA,EDGAR,M
2004,COUNCILOR,SABALBURO,ARTHUR,M
2004,COUNCILOR,FORMOSO,LORENZO,M
2004,COUNCILOR,TOLENTINO,ROMULO,M
2004,COUNCILOR,RITUA,DOMINGO,M
2004,COUNCILOR,RAMOS,GERARDO,M
2004,COUNCILOR,DE CASTRO,ROLANDO,M
2004,COUNCILOR,BELLO,NORMA,F
2004,COUNCILOR,BORJE,WARLITO,M
2004,MAYOR,REDOBLE,JUAN,M
2004,VICE MAYOR,RABANG,ANTONIO,M
2004,COUNCILOR,OANDASAN,RESTITUTO,M
2004,COUNCILOR,RAFANAN,VICTORIO,M
2004,COUNCILOR,RAPISURA,BUENAVENTURA,M
2004,COUNCILOR,TURQUEZA,ERNESTO,M
2004,COUNCILOR,REDOBLE,JONATHAN,M
2004,COUNCILOR,RAPANUT,EXPEDITO,M
2004,COUNCILOR,REFUERZO,MARIANO,M
2004,COUNCILOR,REOTUTAR,VIOLETA,F
2004,MAYOR,VALLE,VIRGILIO,M
2004,VICE MAYOR,ROMANO,RODRIGO,M
2004,COUNCILOR,QUILOP,RENATO,M
2004,COUNCILOR,JAVONILLO,FERNANDO,M
2004,COUNCILOR,SUYAT,ANTONIO,M
2004,COUNCILOR,GABUAT,FRANCO,M
2004,COUNCILOR,RAGUCOS,MA.,F
2004,COUNCILOR,CORTES,FLORENTINA,F
2004,COUNCILOR,GINES,FIDEL,M
2004,COUNCILOR,GARNACE,EDDIE,M
2004,MAYOR,HERNAEZ,FERDINAND,M
2004,VICE MAYOR,HERNAEZ,ESTRELLA,F
2004,COUNCILOR,SALGADO,SIMEON,M
2004,COUNCILOR,BRAVO,ANNELINE,F
2004,COUNCILOR,HERNAEZ,DOUGLAS,M
2004,COUNCILOR,ROSAL,GLICERIO,M
2004,COUNCILOR,DELA PEÑA,JAIME,M
2004,COUNCILOR,ANGALA,TEODORO,M
2004,COUNCILOR,HABON,ALLEN,M
2004,COUNCILOR,COSTALES,REX,M
