year,region,province,city,position,area,candidate_name,party,votes
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"IZQUIERDO-ISAHAC, CHARINA",IND,9036
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"GONZALES, JASEM",LP,8907
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"SALIM, DEN",LP,8806
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"ANNI, RADZ",LP,8271
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"ABDULMAJID, SALI",IND,8252
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"TULAWIE, KIMAR JR.",IND,8248
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"GO, LUIS JR.",LP,7600
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"ABUBAKAR, MAN",IND,7497
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"TUTTUH, SUAIB",IND,4755
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"JUBAIL, ED",IND,2992
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"ABUBAKAR, WINSTON",IND,2942
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"HASSAN, HJ. NIJAR",IND,2766
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"ABAM, INJIMAR",IND,2533
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"AHMAD, HABIB MUZAR",IND,1237
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"MOHAMMAD, SHARIF JUBAIR",IND,849
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"SERAFICA, BEMBIT",IND,532
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"HAWARI, AL-HUSSIEN",IND,506
2010,armm,sulu,maimbung,MAYOR,SULU - MAIMBUNG,"TAN, SAMIER",LP,15385
2010,armm,sulu,maimbung,VICE-MAYOR,SULU - MAIMBUNG,"MUDJASAN, PANDO",LP,14095
2010,armm,sulu,maimbung,"MEMBER, SANGGUNIANG BAYAN",SULU - MAIMBUNG - LONE DIST,"TAN, AIMAN",LP,14820
2010,armm,sulu,maimbung,"MEMBER, SANGGUNIANG BAYAN",SULU - MAIMBUNG - LONE DIST,"TAN, ABUBAKAR",LP,13720
2010,armm,sulu,maimbung,"MEMBER, SANGGUNIANG BAYAN",SULU - MAIMBUNG - LONE DIST,"ARAH, OMAR",LP,13403
2010,armm,sulu,maimbung,"MEMBER, SANGGUNIANG BAYAN",SULU - MAIMBUNG - LONE DIST,"ALLING, ABDIN",LP,12075
2010,armm,sulu,maimbung,"MEMBER, SANGGUNIANG BAYAN",SULU - MAIMBUNG - LONE DIST,"AMIL, AYANG",LP,11450
2010,armm,sulu,maimbung,"MEMBER, SANGGUNIANG BAYAN",SULU - MAIMBUNG - LONE DIST,"ARAJIL, INDANAN",LP,11059
2010,armm,sulu,maimbung,"MEMBER, SANGGUNIANG BAYAN",SULU - MAIMBUNG - LONE DIST,"SAID, ADJID",LP,10981
2010,armm,sulu,maimbung,"MEMBER, SANGGUNIANG BAYAN",SULU - MAIMBUNG - LONE DIST,"USMAN, MAHADIR",LP,10727
